Time,PFT,PFM,PCC,MFT
1474.3129999999985,527.899,332.214,321.176,1.18197
1474.3630000000012,527.854,331.961,321.016,1.18632
1474.4130000000005,527.849,331.726,320.862,1.18487
1474.4629999999995,527.817,331.487,320.604,1.18269
1474.512999999999,527.786,331.229,320.309,1.18269
1474.5629999999985,527.772,330.981,320.179,1.19431
1474.6140000000014,527.708,330.724,319.908,1.18923
1474.664000000001,527.685,330.475,319.644,1.19358
1474.7129999999995,527.722,330.223,319.373,1.17906
1474.7639999999992,527.763,329.979,319.293,1.20084
1474.8199999999997,527.822,329.672,319.071,1.18487
1474.9039999999986,527.84,329.256,318.671,1.18197
1474.9190000000017,527.849,329.152,318.585,1.16963
1475.0250000000017,527.74,328.647,318.123,1.17979
1475.0740000000003,527.617,328.385,317.883,1.19285
1475.1349999999984,527.485,328.073,317.613,1.20011
1475.1690000000017,527.376,327.852,317.453,1.19285
1475.2540000000008,527.153,327.437,317.052,1.1914
1475.2649999999994,527.13,327.378,316.972,1.20229
1475.328000000001,526.993,327.035,316.745,1.18487
1475.3640000000014,526.916,326.831,316.511,1.18923
1475.4429999999993,526.825,326.403,316.178,1.19358
1475.4629999999995,526.807,326.294,316.062,1.18487
1475.5159999999996,526.78,326.019,315.821,1.18632
1475.5629999999985,526.734,325.752,315.52,1.18051
1475.6130000000012,526.661,325.508,315.335,1.1856
1475.696,526.534,325.107,314.984,1.16309
1475.714,526.506,325.007,314.923,1.18487
1475.7649999999994,526.47,324.754,314.529,1.1689
1475.8300000000015,526.443,324.416,314.233,1.15148
1475.8640000000014,526.429,324.28,314.11,1.17761
1475.9370000000015,526.37,323.933,313.87,1.19503
1475.9629999999995,526.352,323.797,313.741,1.19721
1476.0139999999992,526.352,323.54,313.519,1.20447
1476.0629999999985,526.374,323.287,313.286,1.19576
1476.1130000000012,526.361,323.052,313.206,1.19358
1476.164000000001,526.342,322.826,312.978,1.19068
1476.2129999999995,526.361,322.578,312.732,1.18777
1476.3060000000005,526.411,322.122,312.338,1.18342
1476.316999999999,526.397,322.072,312.301,1.18269
